,rand_layer,pearson,ssim,spearman,action
275,1,0.986472376951882,0.9998577579929009,0.9975915979355141,
276,2,0.9485770291873916,0.9825736981986951,0.9934584295672854,
277,3,0.8253444501211908,0.974220510460909,0.8818901843198784,
278,4,0.5234447706435686,0.8699381932365731,0.6129329110750157,
279,5,0.3392917266150533,0.6644712688460306,0.3274191691810435,
280,1,0.987332803181377,0.9996344495216084,0.996120322231581,
281,2,0.9504436088074057,0.9841722401998645,0.9950967496932974,
282,3,0.7897091953547869,0.9735326432223429,0.884641950776252,
283,4,0.5806412696405617,0.8833191531304392,0.6340282731512703,
284,5,0.3338921441827556,0.6546656645358808,0.3184975234371784,
285,1,0.9863375670331878,0.9997488290271423,0.9971734808203452,
286,2,0.9495678330067318,0.9838445090733047,0.9952862057161541,
287,3,0.8164780435217946,0.9733731025843146,0.8835542364470574,
288,4,0.5894447591878353,0.878759363188535,0.6536876683443075,
289,5,0.3331779136465679,0.646713397309055,0.32943803834422375,
290,1,0.9906737605827756,0.9996734067608941,0.9978013061758767,
291,2,0.9482591788809394,0.9816271525317127,0.9945777724153925,
292,3,0.8302798554010311,0.9693446899687796,0.8881360445269372,
293,4,0.6176005466748314,0.8820661694397539,0.6706205832051118,
294,5,0.2942504029785872,0.6492353574749852,0.3152387317305283,
295,1,0.9863173254395929,0.9997116336800742,0.9980808918985,
296,2,0.9623303686039375,0.9791023184359106,0.9963660224366522,
297,3,0.8173539056146271,0.9656951524547503,0.8823190987449894,
298,4,0.565794451871813,0.8772252044725555,0.6373837096707933,
299,5,0.2568049542394497,0.6537950414752736,0.3313029216414575,
300,1,0.9903942987275793,0.9997584941612799,0.9978132907914319,
301,2,0.9407265300696084,0.9784651678584465,0.9926758573183153,
302,3,0.8168153217037846,0.9701452401313139,0.8846311706757881,
303,4,0.6121609610166081,0.8881096154330848,0.6579398948032661,
304,5,0.26576798519590594,0.666817082004888,0.3240753963235286,
305,1,0.9885143462487564,0.9998064673976349,0.9984478269838368,
306,2,0.9482653762953128,0.9864445503699278,0.9946838357381078,
307,3,0.8208003386262863,0.9728658272972637,0.8939671554392897,
308,4,0.5387045326707085,0.8748096734115273,0.6510466043775134,
309,5,0.2392582742425886,0.6617748434964156,0.3214036715112582,
310,1,0.9908463836815653,0.99985837972036,0.9988387781345839,
311,2,0.9572316927903172,0.9891780456298088,0.995251926822814,
312,3,0.8235718412503414,0.9763502705221555,0.8737528526129968,
313,4,0.5631659445369287,0.8736698062976872,0.651236539848968,
314,5,0.29092843468612234,0.6491051971303577,0.32563468431686865,
315,1,0.9926536828304147,0.9998579284371197,0.9985781043821317,
316,2,0.9619182508560411,0.9891410321704525,0.9959709834499769,
317,3,0.8262302926324058,0.9733053379569192,0.8738459232467664,
318,4,0.5702739484276405,0.8615610588619563,0.6357211437340591,
319,5,0.2854079672741322,0.6596787633518036,0.3161072635661249,
320,1,0.9859672520199246,0.9998285009185385,0.9966468722322803,
321,2,0.9539469670681046,0.9909552280084397,0.9947743382672939,
322,3,0.8450612993043021,0.9699497682530525,0.896654158198756,
323,4,0.5972176328106189,0.872158551956563,0.6548718465540468,
324,5,0.277749554866604,0.6531443863993756,0.30042973703766784,
325,1,0.9844893640889844,0.9998006793835427,0.9978422987555713,
326,2,0.9639308097160828,0.9883877470897092,0.9948729709935401,
327,3,0.8470833468124537,0.9703652030974202,0.9080598612989004,
328,4,0.6066162445608937,0.8629425564814227,0.6249812726350104,
329,5,0.29118722078553,0.652382410835188,0.2923938787036014,
330,1,0.9868992414452582,0.9995203955587654,0.9951388334990937,
331,2,0.9574590788594572,0.988908955737826,0.9947643502530487,
332,3,0.8139472324787302,0.9746649844972598,0.887493902468278,
333,4,0.6093119922273286,0.8737981064654733,0.6184916695443847,
334,5,0.2762942436977326,0.6610330110414552,0.2933023321858105,
335,1,0.988299172042482,0.9998732090262701,0.9983409548983729,
336,2,0.9481778720092915,0.9834808491789823,0.9941566801824001,
337,3,0.8296902339675765,0.9748582039217558,0.8726856514556259,
338,4,0.5422488167413695,0.8688425882181855,0.6167583158823098,
339,5,0.31497820280396277,0.667308827438633,0.30823858912680385,
340,1,0.9916536733351557,0.9997861634237782,0.9995707478888338,
341,2,0.9367971046782853,0.977255239679089,0.9954203661693575,
342,3,0.8145127431192957,0.9446941797862674,0.872685574277757,
343,4,0.58854252899655,0.8820194416124193,0.624055852205017,
344,5,0.33359260424269976,0.6760970257435233,0.2816999087750321,
345,1,0.9927870239954482,0.9994835831845336,0.9995432538047185,
346,2,0.9381261215023016,0.9795020505677267,0.994881528972119,
347,3,0.776185640988368,0.8893395594934609,0.8925856167223198,
348,4,0.5348951557905437,0.8827973338842493,0.6096164235200928,
349,5,0.3659392520965684,0.6943415555632826,0.30868677957898216,
350,1,0.9889145604900269,0.9997722702700185,0.9993696612997837,
351,2,0.9326337217452743,0.9802954425438153,0.9939873353864449,
352,3,0.802513433223677,0.9462932639748411,0.9014196822807571,
353,4,0.5362071304309817,0.8828511126470451,0.6308397468200418,
