,state,q_values,importance
77,1069,"[ 0.2531204  -2.1786442  -1.6220098  -1.1707089   0.56364924  0.99298245
  0.14419897  0.8809185  -1.5937839 ]",0.11206394999999991
78,107,"[ 1.9065237  -2.9912212  -2.9942684  -2.4717321  -0.14847308  1.757124
  0.24544954 -1.4192988  -2.5095642 ]",0.14939970000000002
79,1070,"[ 0.3601262  -2.2084622  -1.6232626  -1.1085601   0.42619014  1.0759674
 -0.01852465  0.9151855  -1.5220523 ]",0.16078189999999992
80,1071,"[ 0.3514053  -2.2469847  -1.6769973  -1.2045069   0.44326767  1.0730243
  0.04604432  0.88879544 -1.6355686 ]",0.18422885999999994
81,1072,"[ 0.40096956 -2.2520401  -1.7305703  -1.2202454   0.3868308   1.0937853
  0.03310547  0.8473603  -1.6660513 ]",0.246425
82,1073,"[ 0.3468475  -2.206342   -1.7557527  -1.1102362   0.22571634  1.1391724
 -0.12898876  0.73275167 -1.5946761 ]",0.4064207300000001
83,1074,"[ 0.24110267 -2.1949556  -1.7662622  -1.1297932   0.33503944  1.0944248
 -0.09595739  0.71480906 -1.6047994 ]",0.3796157400000001
84,1075,"[ 0.34273085 -2.184712   -1.7292446  -1.1822183   0.40249944  1.0513691
 -0.00312083  0.71711165 -1.6217902 ]",0.33425745000000007
85,1076,"[ 0.36787662 -2.3686976  -1.8747138  -1.2744188   0.4045815   1.0974926
 -0.04226931  0.665014   -1.7623355 ]",0.43247860000000005
86,1077,"[ 0.29153678 -2.3593857  -1.9070706  -1.3618293   0.36557838  1.1234
 -0.1304492   0.7649342  -1.7912211 ]",0.35846579999999995
87,1078,"[ 0.16302276 -1.9556121  -1.4807721  -1.0540286   0.40883285  0.9420413
  0.01608988  0.90694207 -1.3886352 ]",0.035099229999999926
88,1079,"[ 0.22099361 -1.8030888  -1.3082118  -0.9112647   0.4034082   0.8257607
  0.13918173  0.82064265 -1.2101337 ]",0.005118049999999985
89,108,"[ 1.9921033  -3.0164778  -2.935185   -2.4343357  -0.20565456  1.7602235
  0.22674005 -1.282119   -2.4837344 ]",0.23187979999999997
90,1080,"[ 0.17143261 -1.8390228  -1.2775538  -0.9107818   0.46735868  0.83557683
  0.14894289  0.9373731  -1.2710743 ]",0.10179626999999991
91,1081,"[ 0.30923    -1.9854349  -1.3860093  -1.0771325   0.5210077   0.875316
  0.20580082  1.000521   -1.4633892 ]",0.125205
92,1082,"[ 0.1913799  -2.0013027  -1.414959   -1.0163025   0.5559195   0.9158715
  0.20839076  1.0586205  -1.4160664 ]",0.14274900000000001
93,1083,"[ 0.21272172 -1.9739739  -1.4309545  -0.99077004  0.5235578   0.88553727
  0.23379171  0.9766605  -1.3844359 ]",0.09112323
94,1084,"[ 0.19351481 -1.9374176  -1.4091442  -0.9417262   0.49143764  0.896036
  0.20995484  0.90272135 -1.3575585 ]",0.006685349999999923
95,1085,"[ 0.24539281 -2.0312362  -1.4583509  -1.0161374   0.48090473  0.91678375
  0.17808434  0.90486634 -1.4359314 ]",0.011917410000000017
96,1086,"[ 0.29792988 -2.1931741  -1.6202341  -1.2458572   0.42374054  0.9403942
  0.00944127  0.82399106 -1.6254414 ]",0.11640313999999996
97,1087,"[ 0.39746547 -2.2328844  -1.6206625  -1.2670827   0.49028257  0.93546015
  0.16998163  0.83598405 -1.6620815 ]",0.09947610000000007
98,1088,"[ 0.2220835  -2.0897937  -1.5452726  -1.1132348   0.52085483  0.9517261
  0.10475136  0.956296   -1.5204288 ]",0.004569900000000016
99,1089,"[ 0.28173047 -2.2102606  -1.6899416  -1.2088416   0.54969996  0.99643
  0.16066167  0.923478   -1.6502732 ]",0.07295200000000002
100,109,"[ 1.388506   -2.7576292  -2.4397235  -2.108095    0.07850914  1.454501
  0.53739125 -1.0495079  -2.398447  ]",0.06599500000000003
101,1090,"[ 0.20399597 -2.0560732  -1.4886503  -1.1511118   0.58054924  0.9070439
  0.14788693  0.94111997 -1.5225536 ]",0.034076070000000014
102,1091,"[ 0.22401766 -2.175511   -1.5434852  -1.2191389   0.56685036  0.9379552
  0.1305755   1.004643   -1.6275492 ]",0.06668779999999996
103,1092,"[ 0.13494778 -1.8882746  -1.3626599  -1.0160656   0.5847317   0.81566584
  0.19605593  0.9765676  -1.429019  ]",0.16090176
104,1093,"[ 0.1335524  -1.958838   -1.4055732  -1.0804653   0.61681783  0.82164514
  0.2493662   1.0263466  -1.5229216 ]",0.2047014600000001
105,1094,"[ 0.11804166 -1.9607236  -1.40878    -1.0389888   0.60218596  0.858691
  0.24775307  1.1067936  -1.525312  ]",0.24810260000000006
106,1095,"[ 0.20211102 -2.062961   -1.5349637  -1.084999    0.5369729   0.9271643
  0.18156429  1.0093298  -1.5883738 ]",0.08216549999999989
107,1096,"[ 0.27295983 -1.9689648  -1.4430195  -0.89762825  0.5558815   0.901059
  0.27314192  0.9189086  -1.4212931 ]",0.01784959999999991
